STATION,SITE_CODE,STNAME,WELL_NAME,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVDATUM,ELEVACC,COUNTY_NAME,BASIN_CODE,BASIN_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO,WDL,COMMENT
01N04E36Q001M,378861N1214818W001,Middle River Barrier well 2W screen 61-81 ft bgs       ,MRL-2W              ,37.88605556,-121.48183333,NAD83     ,01      ,6.9,,01      ,San Joaquin,5-022.15,Tracy,81.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01N04E36Q001M,"01N04E36Q001M is part of a well cluster.  Other wells in the cluster are 01N04E36Q002,3,4M."
01N04E36Q002M,378849N1214822W001,Middle River Barrier well 3W screen 14-34 ft bgs       ,MRL-3W              ,37.88486111,-121.48216667,NAD83     ,01      ,-1.0,,01      ,San Joaquin,5-022.15,Tracy,34.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01N04E36Q002M,"01N04E36Q002M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,3,4M."
01N04E36Q003M,378860N1214819W001,Middle River Barrier well 2 screen 10-20 ft bgs        ,MLNO-2              ,37.88602778,-121.48191667,NAD83     ,01      ,8.6,,01      ,San Joaquin,5-022.15,Tracy,20.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01N04E36Q003M,"01N04E36Q003M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,2,4M."
01N04E36Q004M,378850N1214820W001,Middle River Barrier well 1 screen 10-20 ft bgs        ,MLNO-1              ,37.88502778,-121.482,NAD83     ,01      ,15.9,,01      ,San Joaquin,5-022.15,Tracy,20.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01N04E36Q004M,"01N04E36Q004M is part of a well cluster.  Other wells in the cluster are 01N04E36Q001,2,3M."
01S04E28F001M,378186N1215443W001,Grant Line Canal Barrier well 2W screen 10-25 ft bgs   ,GLWL-2W             ,37.81855556,-121.54433333,NAD83     ,01      ,16.1,,01      ,San Joaquin,5-022.15,Tracy,25.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28F001M,"01S04E28F001M is part of a well cluster.  Other wells in the cluster are 01S04E28F002,3,4M."
01S04E28F002M,378204N1215444W001,Grant Line Canal Barrier well 1W screen 74-89 ft bgs   ,GLWL-1W             ,37.82041667,-121.54444444,NAD83     ,01      ,2.2,,01      ,San Joaquin,5-022.15,Tracy,89.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28F002M,"01S04E28F002M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,3,4M."
01S04E28F003M,378186N1215438W001,Grant Line Canal Barrier well 1 screen 15-25 ft bgs    ,GLNO-1              ,37.81855556,-121.54380556,NAD83     ,01      ,15.4,,01      ,San Joaquin,5-022.15,Tracy,25.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28F003M,"01S04E28F003M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,2,4M."
01S04E28F004M,378203N1215436W001,Grant Line Canal Barrier well 2 screen 15-25 ft bgs    ,GLNO-2              ,37.82033333,-121.54361111,NAD83     ,01      ,19.3,,01      ,San Joaquin,5-022.15,Tracy,25.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28F004M,"01S04E28F004M is part of a well cluster.  Other wells in the cluster are 01S04E28F001,2,3M."
01S04E28P001M,378108N1215426W001,Old River at Tracy Barrier well 5W screen 36-51 ft bgs ,ORL-5W              ,37.81083333,-121.54263889,NAD83     ,01      ,6.7,,01      ,San Joaquin,5-022.15,Tracy,51.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28P001M,"01S04E28P001M is part of a well cluster.  Other wells in the cluster are 01S04E28P002,3,4M."
01S04E28P002M,378103N1215449W001,Old River at Tracy Barrier well 1W screen 86-106 ft bgs,ORL-1W              ,37.81030556,-121.54488889,NAD83     ,01      ,13.7,,01      ,San Joaquin,5-022.15,Tracy,106.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28P002M,"01S04E28P002M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,3,4M."
01S04E28P003M,378105N1215422W001,Old River at Tracy Barrier well 4 screen 10-20 ft bgs  ,OLNO-4              ,37.8105,-121.54219444,NAD83     ,01      ,16.9,,01      ,San Joaquin,5-022.15,Tracy,20.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28P003M,"01S04E28P003M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,2,4M."
01S04E28P004M,378097N1215428W001,Old River at Tracy Barrier well 3 screen 10-20 ft bgs  ,OLNO-3              ,37.80969444,-121.54277778,NAD83     ,01      ,14.1,,01      ,San Joaquin,5-022.15,Tracy,20.0,Observation,Single Well,,http://wdl.water.ca.gov/waterdatalibrary/docs/Hydstra/index.cfm?site=01S04E28P004M,"01S04E28P004M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,2,3M."
