"","NDI","site_no","SITE_CODE","STATION","mergeOn","lat","lon"
"1","0",3.23233e+14,"","","3.23233E+14",32.54,-117.03
"2","2",3.23242e+14,"","","3.23242E+14",32.55,-117.11
"3","8",3.23302e+14,"","","3.23302E+14",32.55,-117.1
"4","13",3.23303e+14,"","","3.23303E+14",32.55,-117.08
"5","15",3.23313e+14,"","","3.23313E+14",32.55,-117.06
"6","23",3.23332e+14,"","","3.23332E+14",32.56,-117.08
"7","30",3.23527e+14,"","","3.23527E+14",32.59,-117.08
"8","34",3.23528e+14,"","","3.23528E+14",32.59,-117.05
"9","42",3.23659e+14,"","","3.23659E+14",32.62,-117.07
"10","43",3.23705e+14,"","","3.23705E+14",32.62,-117.06
"11","44",3.23733e+14,"","","3.23733E+14",32.63,-117.1
"12","45",3.23804e+14,"","","3.23804E+14",32.63,-117.08
"13","47",3.23808e+14,"","","3.23808E+14",32.64,-117.1
"14","52",3.23816e+14,"","","3.23816E+14",32.64,-117.08
"15","54",3.23842e+14,"","","3.23842E+14",32.65,-117.1
"16","60",3.2391e+14,"","","3.2391E+14",32.65,-117.1
"17","62",3.23915e+14,"","","3.23915E+14",32.65,-117.1
"18","70",3.23932e+14,"","","3.23932E+14",32.66,-117.09
"19","74",3.23934e+14,"","","3.23934E+14",32.66,-115.85
"20","75",3.24005e+14,"","","3.24005E+14",32.67,-117.1
"21","76",3.24013e+14,"","","3.24013E+14",32.67,-115.86
"22","77",3.24055e+14,"","","3.24055E+14",32.67,-115.85
"23","88",3.24116e+14,"","","3.24116E+14",32.68,-117.11
"24","89",3.24117e+14,"","","3.24117E+14",32.69,-117.09
"25","94",3.24138e+14,"","","3.24138E+14",32.69,-115.93
"26","113",3.24219e+14,"","","3.24219E+14",32.69,-115.92
"27","116",3.24222e+14,"","","3.24222E+14",32.69,-115.92
"28","127",3.24235e+14,"","","3.24235E+14",32.69,-115.92
"29","132",3.24242e+14,"","","3.24242E+14",32.71,-117.11
"30","135",3.24251e+14,"","","3.24251E+14",32.71,-117.09
"31","146",3.24307e+14,"","","3.24307E+14",32.71,-115.87
"32","153",3.24318e+14,"","","3.24318E+14",32.72,-117.14
"33","160",3.24345e+14,"","","3.24345E+14",32.72,-117.11
"34","164",3.24405e+14,"","","3.24405E+14",32.73,-116.02
"35","172",3.24416e+14,"","","3.24416E+14",32.73,-116.02
"36","179",3.24417e+14,"","","3.24417E+14",32.74,-117.07
"37","183",3.24422e+14,"","","3.24422E+14",32.74,-116.02
"38","184",3.24424e+14,"","","3.24424E+14",32.74,-116
"39","188",3.2443e+14,"","","3.2443E+14",32.74,-115.99
"40","194",3.24446e+14,"","","3.24446E+14",32.74,-115.97
"41","196",3.24455e+14,"","","3.24455E+14",32.74,-115.93
"42","198",3.24458e+14,"","","3.24458E+14",32.74,-115.93
"43","201",3.245e+14,"","","3.245E+14",32.75,-116.01
"44","222",3.24547e+14,"","","3.24547E+14",32.75,-115.95
"45","226",3.24558e+14,"","","3.24558E+14",32.75,-115.95
"46","227",3.24603e+14,"","","3.24603E+14",32.75,-115.82
"47","228",3.24608e+14,"","","3.24608E+14",32.77,-116
"48","240",3.24641e+14,"","","3.24641E+14",32.77,-115.99
"49","242",3.24648e+14,"","","3.24648E+14",32.78,-117.12
"50","250",3.24706e+14,"","","3.24706E+14",32.78,-117.12
"51","256",3.248e+14,"","","3.248E+14",32.78,-117.12
"52","262",3.24851e+14,"","","3.24851E+14",32.78,-117.12
"53","272",3.25047e+14,"","","3.25047E+14",32.78,-117.12
"54","274",3.25114e+14,"","","3.25114E+14",32.78,-117.12
"55","278",3.25526e+14,"","","3.25526E+14",32.79,-117.11
"56","280",3.30031e+14,"","","3.30031E+14",32.79,-117.11
"57","282",3.30158e+14,"","","3.30158E+14",32.79,-116.95
"58","283",3.3032e+14,"","","3.3032E+14",32.79,-116.95
"59","289",3.30514e+14,"","","3.30514E+14",32.85,-115.57
"60","290",3.30555e+14,"","","3.30555E+14",33.05,-117.04
"61","293",3.30701e+14,"","","3.30701E+14",33.06,-117.05
"62","295",3.31533e+14,"","","3.31533E+14",33.06,-117.05
"63","319",3.31745e+14,"","","3.31745E+14",33.06,-117.05
"64","320",3.31814e+14,"","","3.31814E+14",33.06,-117.05
"65","321",3.31829e+14,"","","3.31829E+14",33.06,-117.05
"66","328",3.32057e+14,"","","3.32057E+14",33.08,-117.02
"67","330",3.32501e+14,"","","3.32501E+14",33.08,-117.02
"68","346",3.32747e+14,"","","3.32747E+14",33.09,-116.97
"69","352",3.32819e+14,"","","3.32819E+14",33.16,-116.17
